trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,space,5.33717923122,,,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
0,0.8,0.5,,,1,0.650828493672,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
1,0.8,0.0792446596231,,,1,0.534042784944,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
2,0.8,0.0125594321575,,,1,0.567466273074,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
3,0.8,0.00199053585277,,,1,0.567555997448,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
4,0.8,0.00031547867224,,,1,0.450809687973,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
5,0.8,5e-05,,,1,0.484095113134,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
6,0.8,7.92446596231e-06,,,1,0.38422691857,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
7,0.8,1.25594321575e-06,,,1,0.267364066749,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
8,0.8,1.99053585277e-07,,,1,0.367491832934,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
9,0.8,3.1547867224e-08,,,1,0.267331620285,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
10,0.8,5e-09,,,1,0.317493173832,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
11,0.8,7.92446596231e-10,,,0,[],2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
12,0.8,5e-09,,,1,0.667504314886,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
13,0.8,5e-09,,,1,0.567488455854,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
14,0.4,5e-09,,,1,0.484174242752,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
15,0.4,1.99053585277e-09,,,0,[],2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
16,0.4,5e-09,,,1,0.350727280616,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
17,0.4,5e-09,,,1,0.0840591571614,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
18,0.2,5e-09,,,1,0.133937963037,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
19,0.2,3.1547867224e-09,,,1,1.00128494573,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
20,0.2,3.1547867224e-09,,,0,[],2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
21,0.2,5e-09,,,0,0.717277835342,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
22,0.2,7.92446596231e-09,,,0,0.517433843168,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
23,0.2,1.25594321575e-08,,,1,0.233996532203,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
24,0.2,1.25594321575e-08,,,1,0.0671750827169,2015_Sep_08_1634,59.9445678259,psychophysicsStaircase,s_001,10,
