4.4963 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x04DF3238>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.4964 	EXP 	window1: recordFrameIntervals = False
4.6612 	EXP 	window1: recordFrameIntervals = True
4.8450 	EXP 	window1: recordFrameIntervals = False
4.9907 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.9923 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=128, units='pix', win=Window(...))
4.9969 	EXP 	Created gabor = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='gabor', opacity=1.0, ori=10.0, phase=array([ 1.,  1.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.1,  0.1]), size=array([ 128.,  128.]), tex='sin', texRes=128, units='pix', win=Window(...))
5.0057 	EXP 	instructions: autoDraw = True
10.3340 	DATA 	Keypress: space
10.3500 	EXP 	instructions: autoDraw = False
10.3500 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
10.3500 	EXP 	fixation: autoDraw = True
10.8673 	EXP 	gabor: autoDraw = True
11.3511 	EXP 	fixation: autoDraw = False
11.3511 	EXP 	gabor: autoDraw = False
11.5017 	DATA 	Keypress: up
11.5179 	EXP 	fixation: autoDraw = False
11.5179 	EXP 	gabor: autoDraw = False
11.5179 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
11.5179 	EXP 	fixation: autoDraw = True
12.0351 	EXP 	gabor: autoDraw = True
12.5189 	EXP 	fixation: autoDraw = False
12.5189 	EXP 	gabor: autoDraw = False
12.5528 	DATA 	Keypress: up
12.5689 	EXP 	fixation: autoDraw = False
12.5689 	EXP 	gabor: autoDraw = False
12.5689 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
12.5689 	EXP 	fixation: autoDraw = True
13.0862 	EXP 	gabor: autoDraw = True
13.5699 	EXP 	fixation: autoDraw = False
